vendor_id,vendor_name,status,created_by,confirmed_by,confirmed_at,created_at,updated_at
RECOATL,Reco Atlanta,pending_confirmation,,,,2026-03-19 23:20:59.86853,2026-03-19 23:20:59.86853
RESTORDER,Restaurant Ordering,pending_confirmation,,,,2026-03-19 23:20:59.86853,2026-03-19 23:20:59.86853
RICONO,Ricono Accounting,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
RISKINSEDU,Risk & Insurance Education,pending_confirmation,,,,2026-03-19 23:20:59.86853,2026-03-19 23:20:59.86853
RREALTACOS,Rreal Tacos,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
SIRCON,Sircon (Vertafore),pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
SRITHAI,Sri Thai,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
STRIPE,Stripe,pending_confirmation,,,,2026-03-19 23:36:49.591847,2026-03-19 23:36:49.591847
SUKI,Suki,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
TAILWIND,Tailwind,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
THAITASTE,Thai Taste,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
UNITED,United Airlines,pending_confirmation,,,,2026-03-19 23:20:59.86853,2026-03-19 23:20:59.86853
USPS,USPS,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
VISTAPRINT,Vistaprint,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
VSP,VSP,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
VUE,Pearson VUE,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
WALGREENS,Walgreens,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
WALMART,Walmart,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
WALTONEMC,Walton EMC,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
WAVE,Wave Financial,pending_confirmation,,,,2026-03-19 23:16:24.873279,2026-03-19 23:16:24.873279
